title,year,director,cast,imdb_rating
Before Sunset,2004,Richard Linklater,"Ethan Hawke, Julie Delpy",8.1
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,"Paul Newman, Robert Redford",8.1
In the Mood for Love,2000,Kar-Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung",8.1
In the Name of the Father,1993,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite",8.1
The Last Picture Show,1971,Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges",8.1
The Man Who Shot Liberty Valance,1962,John Ford,"James Stewart, John Wayne",8.1
Hotel Rwanda,2004,Terry George,"Don Cheadle, Sophie Okonedo",8.1
"Paris, Texas",1984,Wim Wenders,"Harry Dean Stanton, Nastassja Kinski",8.1
Roman Holiday,1953,William Wyler,"Gregory Peck, Audrey Hepburn",8.1
Memories of Murder,2003,Joon-ho Bong,"Kang-ho Song, Sang-kyung Kim",8.1
La Haine,1995,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé",8.1
Who's Afraid of Virginia Woolf?,1966,Mike Nichols,"Elizabeth Taylor, Richard Burton",8.1
What Ever Happened to Baby Jane?,1962,Robert Aldrich,"Bette Davis, Joan Crawford",8.1
8½,1963,Federico Fellini,"Marcello Mastroianni, Anouk Aimée",8.1
Castle in the Sky,1986,Hayao Miyazaki,"Anna Paquin, James Van Der Beek",8.1
Amores Perros,2000,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal",8.1
Mommy,I) (2014,Xavier Dolan,"Anne Dorval, Antoine Olivier Pilon",8.1
Paper Moon,1973,Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal",8.1
Three Colors: Red,1994,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant",8.1
Persona,1966,Ingmar Bergman,"Bibi Andersson, Liv Ullmann",8.1
Brief Encounter,1945,David Lean,"Celia Johnson, Trevor Howard",8.1
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura",8.1
Infernal Affairs,2002,Wai-Keung Lau,"Andy Lau, Tony Chiu-Wai Leung",8.1
Song of the Sea,2014,Tomm Moore,"David Rawle, Brendan Gleeson",8.1
Elite Squad,2007,José Padilha,"Wagner Moura, André Ramiro",8.1
Mary and Max,2009,Adam Elliot,"Toni Collette, Philip Seymour Hoffman",8.1
La Dolce Vita,1960,Federico Fellini,"Marcello Mastroianni, Anita Ekberg",8.1
Wings of Desire,1987,Wim Wenders,"Bruno Ganz, Solveig Dommartin",8.1
Chungking Express,1994,Kar-Wai Wong,"Brigitte Lin, Takeshi Kaneshiro",8.1
The Maltese Falcon,1941,John Huston,"Humphrey Bogart, Mary Astor",8.1
The Mirror,1975,Andrei Tarkovsky,"Margarita Terekhova, Filipp Yankovskiy",8.1
Diabolique,1955,Henri-Georges Clouzot,"Simone Signoret, Véra Clouzot",8.1
Cat on a Hot Tin Roof,1958,Richard Brooks,"Elizabeth Taylor, Paul Newman",8.1
Touch of Evil,1958,Orson Welles,"Charlton Heston, Orson Welles",8.1
Fanny and Alexander,1982,Ingmar Bergman,"Bertil Guve, Pernilla Allwin",8.1
It Happened One Night,1934,Frank Capra,"Clark Gable, Claudette Colbert",8.1
Zindagi Na Milegi Dobara,2011,Zoya Akhtar,"Katrina Kaif, Hrithik Roshan",8.1
The Best Years of Our Lives,1946,William Wyler,"Myrna Loy, Dana Andrews",8.1
All Quiet on the Western Front,1930,Lewis Milestone,"Lew Ayres, Louis Wolheim",8.1
The 400 Blows,1959,François Truffaut,"Jean-Pierre Léaud, Albert Rémy",8.1
The Grapes of Wrath,1940,John Ford,"Henry Fonda, Jane Darwell",8.1
The Lion in Winter,1968,Anthony Harvey,"Peter O'Toole, Katharine Hepburn",8.1
La leggenda del pianista sull'oceano,1998,Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince",8.1
Anatomy of a Murder,1959,Otto Preminger,"James Stewart, Lee Remick",8.1
Underground,1995,Emir Kusturica,"Predrag 'Miki' Manojlovic, Lazar Ristovski",8.1
Fitzcarraldo,1982,Werner Herzog,"Klaus Kinski, Claudia Cardinale",8.1
The Tale of the Princess Kaguya,2013,Isao Takahata,"Chloë Grace Moretz, James Caan",8.1
Laura,1944,Otto Preminger,"Gene Tierney, Dana Andrews",8.1
Elite Squad: The Enemy Within,2010,José Padilha,"Wagner Moura, Irandhir Santos",8.1
The Celebration,1998,Thomas Vinterberg,"Ulrich Thomsen, Henning Moritzen",8.1
Persepolis,2007,Vincent Paronnaud,"Chiara Mastroianni, Catherine Deneuve",8.1
The Cabinet of Dr. Caligari,1920,Robert Wiene,"Werner Krauss, Conrad Veidt",8.1
The Nights of Cabiria,1957,Federico Fellini,"Giulietta Masina, François Périer",8.1
Sleuth,1972,Joseph L. Mankiewicz,"Laurence Olivier, Michael Caine",8.1
Le Samouraï,1967,Jean-Pierre Melville,"Alain Delon, François Périer",8.1
Bajrangi Bhaijaan,2015,Kabir Khan,"Salman Khan, Kareena Kapoor Khan",8.1
Darbareye Elly,2009,Asghar Farhadi,"Golshifteh Farahani, Shahab Hosseini",8.1
Departures,2008,Yôjirô Takita,"Masahiro Motoki, Ryôko Hirosue",8.1
The Hidden Fortress,1958,Akira Kurosawa,"Toshirô Mifune, Misa Uehara",8.1
La Strada,1954,Federico Fellini,"Anthony Quinn, Giulietta Masina",8.1
Throne of Blood,1957,Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki",8.1
Out of the Past,1947,Jacques Tourneur,"Robert Mitchum, Jane Greer",8.1
The Battle of Algiers,1966,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin",8.1
Airlift,2016,Raja Menon,"Akshay Kumar, Nimrat Kaur",8.1
"Crna macka, beli macor",1998,Emir Kusturica,"Bajram Severdzan, Srdjan 'Zika' Todorovic",8.1
3-Iron,2004,Ki-duk Kim,"Seung-yeon Lee, Hee Jae",8.1
Barfi!,2012,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra",8.1
"Spring, Summer, Fall, Winter... and Spring",2003,Ki-duk Kim,"Ki-duk Kim, Yeong-su Oh",8.1
Baby,I) (2015,Neeraj Pandey,"Akshay Kumar, Danny Denzongpa",8.1
